instance=../square-large-agents-mapf/tests/problems/arena.txt
agents=40
sizes=2.69441, 2.12627, 2.5819, 2.29577, 2.12803, 2.86798, 2.93952, 2.00017, 2.11081, 2.02785, 2.37964, 2.09091, 2.35287, 2.03532, 2.53879, 2.07992, 2.75504, 2.38238, 2.39557, 2.32578, 2.55741, 2.04843, 2.96757, 2.14659, 2.03359, 2.39619, 2.46871, 2.16688, 2.89929, 2.97717, 2.13857, 2.98738, 2.54994, 2.50255, 2.07462, 2.53685, 2.61779, 2.62093, 2.59765, 2.34917
map_file=arena.map
solver=Free Space Priority Inheritance With Backtracking V2 (LAPIBT)
solved=1
soc=4403
lb_soc=1280
makespan=221
lb_makespan=60
comp_time=16
preprocessing_comp_time=8
starts=(32,21),(40,4),(20,22),(26,18),(2,3),(13,26),(18,5),(43,13),(36,11),(23,31),(42,38),(35,41),(36,27),(20,15),(25,13),(41,30),(11,11),(20,38),(27,28),(41,18),(8,1),(13,40),(9,20),(1,37),(25,39),(7,38),(3,11),(4,24),(26,7),(32,36),(35,5),(7,32),(3,17),(15,21),(18,27),(14,35),(2,43),(41,25),(12,5),(19,33),
goals=(10,16),(30,21),(11,42),(44,6),(35,16),(29,41),(24,32),(21,38),(8,6),(39,19),(7,22),(12,26),(39,4),(41,14),(11,34),(34,6),(4,3),(15,9),(3,26),(28,10),(6,38),(1,36),(23,23),(19,29),(37,43),(20,11),(39,35),(30,35),(43,26),(3,12),(42,42),(20,4),(2,18),(33,27),(26,18),(39,9),(16,21),(4,43),(27,3),(19,16),
solution=
0:(32,21),(40,4),(20,22),(26,18),(2,3),(13,26),(18,5),(43,13),(36,11),(23,31),(42,38),(35,41),(36,27),(20,15),(25,13),(41,30),(11,11),(20,38),(27,28),(41,18),(8,1),(13,40),(9,20),(1,37),(25,39),(7,38),(3,11),(4,24),(26,7),(32,36),(35,5),(7,32),(3,17),(15,21),(18,27),(14,35),(2,43),(41,25),(12,5),(19,33),
1:(31,21),(39,4),(19,22),(27,18),(3,3),(14,26),(19,5),(42,13),(35,11),(24,31),(41,38),(34,41),(37,27),(21,15),(24,13),(40,30),(10,11),(19,38),(26,28),(40,18),(7,1),(12,40),(10,20),(2,37),(26,39),(8,38),(4,11),(5,24),(27,7),(31,36),(36,5),(8,32),(3,18),(16,21),(19,27),(15,35),(3,43),(40,25),(13,5),(19,32),
2:(30,21),(40,4),(18,22),(27,17),(4,3),(15,26),(19,6),(41,13),(34,11),(25,31),(40,38),(33,41),(37,28),(20,15),(23,13),(40,29),(9,11),(19,37),(25,28),(39,18),(7,2),(12,39),(11,20),(3,37),(27,39),(9,38),(5,11),(6,24),(28,7),(30,36),(37,5),(9,32),(2,18),(15,21),(20,27),(16,35),(4,43),(39,25),(14,5),(19,31),
3:(29,21),(41,4),(17,22),(27,16),(4,3),(16,26),(19,7),(40,13),(33,11),(26,31),(39,38),(32,41),(36,28),(20,16),(22,13),(39,29),(9,10),(19,36),(24,28),(38,18),(7,3),(12,40),(11,21),(4,37),(28,39),(9,38),(6,11),(7,24),(29,7),(29,36),(38,5),(10,32),(2,18),(14,21),(21,27),(16,35),(5,43),(38,25),(15,5),(20,31),
4:(28,21),(42,4),(17,22),(27,15),(4,3),(17,26),(19,8),(39,13),(32,11),(27,31),(38,38),(31,41),(36,29),(21,16),(21,13),(39,29),(10,10),(19,35),(23,28),(37,18),(7,4),(12,41),(10,21),(5,37),(28,40),(10,38),(6,11),(8,24),(30,7),(28,36),(39,5),(11,32),(2,18),(13,21),(20,27),(16,35),(6,43),(37,25),(16,5),(21,31),
5:(27,21),(43,4),(16,22),(27,14),(4,3),(17,26),(19,9),(38,13),(31,11),(27,30),(37,38),(30,41),(35,29),(22,16),(20,13),(39,29),(10,9),(19,34),(24,28),(36,18),(7,5),(11,41),(9,21),(6,37),(27,40),(11,38),(7,11),(9,24),(31,7),(27,36),(39,5),(11,31),(2,18),(13,22),(21,27),(16,35),(7,43),(36,25),(17,5),(22,31),
6:(26,21),(43,3),(16,22),(27,13),(5,3),(18,26),(19,10),(37,13),(30,11),(27,29),(36,38),(30,41),(35,30),(23,16),(19,13),(38,29),(11,9),(20,34),(24,27),(35,18),(7,6),(12,41),(8,21),(7,37),(26,40),(12,38),(8,11),(10,24),(32,7),(26,36),(40,5),(11,30),(2,18),(13,23),(21,28),(16,35),(8,43),(35,25),(18,5),(23,31),
